customer_id,email,signup_date,country,pricing_plan,acquisition_channel,status
usr_09821572,usr_09821572@example.com,2024-01-03,DE,Trial_Basic,Organic,active
usr_9f5c506c,usr_9f5c506c@example.com,2024-10-11,FR,Trial_Pro,Organic,active
usr_4b6e40de,usr_4b6e40de@example.com,2024-04-19,FR,Trial_Basic,Direct,active
usr_9db7c73e,usr_9db7c73e@example.com,2024-04-25,ES,Trial_Basic,Paid_Search,active
usr_251a9410,usr_251a9410@example.com,2024-09-14,ES,Trial_Basic,Email,active
usr_7cee8719,usr_7cee8719@example.com,2024-07-20,IN,Trial_Pro,Direct,active
usr_78de6df6,usr_78de6df6@example.com,2024-02-20,DE,Trial_Pro,Organic,cancelled
usr_f4054775,usr_f4054775@example.com,2024-09-21,US,Trial_Basic,Organic,cancelled
usr_c71e365a,usr_c71e365a@example.com,2024-05-15,US,Trial_Pro,Social,cancelled
usr_ad525241,usr_ad525241@example.com,2024-09-09,UK,Trial_Basic,Paid_Search,cancelled
usr_ebb56b41,usr_ebb56b41@example.com,2024-06-13,ES,Trial_Basic,Referral,active
usr_eee02dce,usr_eee02dce@example.com,2024-02-26,ES,Trial_Pro,Email,active
usr_54817038,usr_54817038@example.com,2024-10-06,US,Trial_Pro,Referral,active
usr_e28676b4,usr_e28676b4@example.com,2024-04-26,DE,Trial_Basic,Email,active
usr_26eec29f,usr_26eec29f@example.com,2024-01-10,DE,Free,Referral,cancelled
usr_2327f60f,usr_2327f60f@example.com,2024-09-11,FR,Trial_Pro,Direct,cancelled
usr_5f1ff3ce,usr_5f1ff3ce@example.com,2024-05-20,IN,Trial_Pro,Referral,active
usr_05ced1b1,usr_05ced1b1@example.com,2024-03-27,FR,Free,Referral,active
usr_68c85928,usr_68c85928@example.com,2024-03-01,DE,Trial_Pro,Email,cancelled
usr_7fe529ba,usr_7fe529ba@example.com,2024-06-06,US,Free,Direct,active
usr_321fc495,usr_321fc495@example.com,2024-04-02,FR,Free,Direct,active
usr_a6ac1684,usr_a6ac1684@example.com,2024-10-06,ES,Free,Email,active
usr_bea0f081,usr_bea0f081@example.com,2024-11-30,IN,Trial_Basic,Organic,cancelled
usr_acda12ec,usr_acda12ec@example.com,2024-10-10,DE,Trial_Basic,Paid_Search,cancelled
usr_da8e0c47,usr_da8e0c47@example.com,2024-08-28,IN,Trial_Basic,Paid_Search,cancelled
usr_23185e69,usr_23185e69@example.com,2024-07-26,IN,Free,Organic,cancelled
usr_16f7b3c9,usr_16f7b3c9@example.com,2024-04-08,DE,Trial_Basic,Social,active
usr_e00acf97,usr_e00acf97@example.com,2024-12-28,DE,Trial_Basic,Paid_Search,active
usr_a292e507,usr_a292e507@example.com,2024-06-17,IN,Trial_Pro,Paid_Search,cancelled
usr_0e0c1861,usr_0e0c1861@example.com,2024-02-03,UK,Trial_Basic,Referral,cancelled
usr_4b87b7f1,usr_4b87b7f1@example.com,2024-01-12,FR,Trial_Basic,Referral,active
usr_96755da5,usr_96755da5@example.com,2024-05-27,ES,Free,Organic,cancelled
usr_6cefbcbb,usr_6cefbcbb@example.com,2024-02-12,DE,Trial_Basic,Paid_Search,active
usr_c013d6af,usr_c013d6af@example.com,2024-05-26,ES,Trial_Basic,Referral,active
usr_f5388cd2,usr_f5388cd2@example.com,2024-09-26,IN,Trial_Pro,Email,cancelled
usr_6f64768c,usr_6f64768c@example.com,2024-01-02,IN,Trial_Basic,Referral,cancelled
usr_91c7587e,usr_91c7587e@example.com,2024-04-02,UK,Trial_Basic,Email,cancelled
usr_8dc2d7b4,usr_8dc2d7b4@example.com,2024-01-01,ES,Trial_Basic,Direct,cancelled
usr_0ddfd11c,usr_0ddfd11c@example.com,2024-11-25,UK,Trial_Pro,Email,active
usr_7c9a7e13,usr_7c9a7e13@example.com,2024-09-11,ES,Trial_Basic,Social,active
usr_298050bd,usr_298050bd@example.com,2024-07-04,FR,Free,Email,cancelled
usr_e78be6ee,usr_e78be6ee@example.com,2024-05-23,ES,Trial_Pro,Direct,cancelled
usr_855a82f0,usr_855a82f0@example.com,2024-09-16,IN,Trial_Basic,Referral,active
usr_ed58ad26,usr_ed58ad26@example.com,2024-11-16,DE,Trial_Basic,Email,cancelled
usr_5b676f82,usr_5b676f82@example.com,2024-02-20,UK,Trial_Pro,Paid_Search,active
usr_c862d93f,usr_c862d93f@example.com,2024-11-16,DE,Trial_Pro,Email,cancelled
usr_0723adb6,usr_0723adb6@example.com,2024-03-23,US,Trial_Basic,Direct,cancelled
usr_df775eeb,usr_df775eeb@example.com,2024-03-05,FR,Trial_Pro,Paid_Search,active
usr_8779b1b4,usr_8779b1b4@example.com,2024-06-05,IN,Free,Social,cancelled
usr_06964ab8,usr_06964ab8@example.com,2024-03-29,DE,Trial_Pro,Referral,cancelled
usr_812496ad,usr_812496ad@example.com,2024-05-05,ES,Trial_Pro,Direct,cancelled
usr_b3fe065a,usr_b3fe065a@example.com,2024-07-18,US,Trial_Pro,Referral,active
usr_f36084e1,usr_f36084e1@example.com,2024-12-23,DE,Trial_Basic,Paid_Search,cancelled
usr_8eadc72b,usr_8eadc72b@example.com,2024-01-23,ES,Trial_Basic,Social,cancelled
