customer_id,email,signup_date,country,pricing_plan,acquisition_channel,status,subscription_id,plan,start_date,end_date,status_sub,price,billing_period
usr_09821572,usr_09821572@example.com,2024-01-03,DE,Trial_Basic,Organic,cancelled,sub_1b24c4,Trial_Basic,2024-01-03,2024-01-17,Trial,0.0,monthly
usr_9f5c506c,usr_9f5c506c@example.com,2024-10-11,FR,Trial_Pro,Organic,cancelled,sub_31cfb1,Basic_Annual,2024-10-26,2024-10-25,Active,290.0,monthly
usr_4b6e40de,usr_4b6e40de@example.com,2024-04-19,FR,Trial_Basic,Direct,active,sub_73bfef,Trial_Basic,2024-04-19,2024-05-03,Trial,0.0,monthly
usr_9db7c73e,usr_9db7c73e@example.com,2024-04-25,ES,Trial_Basic,Paid_Search,active,sub_fee8e9,Basic_Monthly,2024-06-10,2024-06-09,Active,29.0,monthly
usr_251a9410,usr_251a9410@example.com,2024-09-14,ES,Trial_Basic,Email,cancelled,sub_00b58f,Trial_Basic,2024-09-14,2024-09-28,Trial,0.0,monthly
usr_7cee8719,usr_7cee8719@example.com,2024-07-20,IN,Trial_Pro,Direct,active,sub_e63f87,Trial_Pro,2024-07-20,2024-08-03,Trial,0.0,monthly
usr_78de6df6,usr_78de6df6@example.com,2024-02-20,DE,Trial_Pro,Organic,active,sub_cdb4f6,Basic_Monthly,2024-04-06,2024-04-05,Active,29.0,monthly
usr_f4054775,usr_f4054775@example.com,2024-09-21,US,Trial_Basic,Organic,active,sub_d7ceda,Trial_Basic,2024-09-21,2024-10-05,Trial,0.0,monthly
usr_c71e365a,usr_c71e365a@example.com,2024-05-15,US,Trial_Pro,Social,cancelled,sub_53c5f4,Trial_Pro,2024-05-15,2024-05-29,Trial,0.0,monthly
usr_ad525241,usr_ad525241@example.com,2024-09-09,UK,Trial_Basic,Paid_Search,active,sub_2fcbc0,Trial_Basic,2024-09-09,2024-09-23,Trial,0.0,monthly
usr_ebb56b41,usr_ebb56b41@example.com,2024-06-13,ES,Trial_Basic,Referral,active,sub_9e7082,Trial_Basic,2024-06-13,2024-06-27,Trial,0.0,monthly
usr_eee02dce,usr_eee02dce@example.com,2024-02-26,ES,Trial_Pro,Email,active,sub_1fb2d0,Basic_Monthly,2024-04-12,2024-04-12,Cancelled,0.0,monthly
